Source	Revision	Code	Name
mca	202112	150422	巴林左旗
mca	202112	150423	巴林右旗
mca	202112	150424	林西县
mca	202112	150425	克什克腾旗
mca	202112	150426	翁牛特旗
mca	202112	150428	喀喇沁旗
mca	202112	150429	宁城县
mca	202112	150430	敖汉旗
mca	202112	150500	通辽市
mca	202112	150502	科尔沁区
mca	202112	150521	科尔沁左翼中旗
mca	202112	150522	科尔沁左翼后旗
mca	202112	150523	开鲁县
mca	202112	150524	库伦旗
mca	202112	150525	奈曼旗
mca	202112	150526	扎鲁特旗
mca	202112	150581	霍林郭勒市
mca	202112	150600	鄂尔多斯市
mca	202112	150602	东胜区
mca	202112	150603	康巴什区
mca	202112	150621	达拉特旗
mca	202112	150622	准格尔旗
mca	202112	150623	鄂托克前旗
mca	202112	150624	鄂托克旗
mca	202112	150625	杭锦旗
mca	202112	150626	乌审旗
mca	202112	150627	伊金霍洛旗
mca	202112	150700	呼伦贝尔市
mca	202112	150702	海拉尔区
mca	202112	150703	扎赉诺尔区
mca	202112	150721	阿荣旗
mca	202112	150722	莫力达瓦达斡尔族自治旗
mca	202112	150723	鄂伦春自治旗
mca	202112	150724	鄂温克族自治旗
mca	202112	150725	陈巴尔虎旗
mca	202112	150726	新巴尔虎左旗
mca	202112	150727	新巴尔虎右旗
mca	202112	150781	满洲里市
mca	202112	150782	牙克石市
mca	202112	150783	扎兰屯市
mca	202112	150784	额尔古纳市
mca	202112	150785	根河市
mca	202112	150800	巴彦淖尔市
mca	202112	150802	临河区
mca	202112	150821	五原县
mca	202112	150822	磴口县
mca	202112	150823	乌拉特前旗
mca	202112	150824	乌拉特中旗
mca	202112	150825	乌拉特后旗
mca	202112	150826	杭锦后旗
mca	202112	150900	乌兰察布市
mca	202112	150902	集宁区
mca	202112	150921	卓资县
mca	202112	150922	化德县
mca	202112	150923	商都县
mca	202112	150924	兴和县
mca	202112	150925	凉城县
mca	202112	150926	察哈尔右翼前旗
mca	202112	150927	察哈尔右翼中旗
mca	202112	150928	察哈尔右翼后旗
mca	202112	150929	四子王旗
mca	202112	150981	丰镇市
mca	202112	152200	兴安盟
mca	202112	152201	乌兰浩特市
mca	202112	152202	阿尔山市
mca	202112	152221	科尔沁右翼前旗
mca	202112	152222	科尔沁右翼中旗
mca	202112	152223	扎赉特旗
mca	202112	152224	突泉县
mca	202112	152500	锡林郭勒盟
mca	202112	152501	二连浩特市
mca	202112	152502	锡林浩特市
mca	202112	152522	阿巴嘎旗
mca	202112	152523	苏尼特左旗
mca	202112	152524	苏尼特右旗
mca	202112	152525	东乌珠穆沁旗
mca	202112	152526	西乌珠穆沁旗
mca	202112	152527	太仆寺旗
mca	202112	152528	镶黄旗
mca	202112	152529	正镶白旗
mca	202112	152530	正蓝旗
mca	202112	152531	多伦县
mca	202112	152900	阿拉善盟
mca	202112	152921	阿拉善左旗
mca	202112	152922	阿拉善右旗
mca	202112	152923	额济纳旗
mca	202112	210000	辽宁省
mca	202112	210100	沈阳市
mca	202112	210102	和平区
mca	202112	210103	沈河区
mca	202112	210104	大东区
mca	202112	210105	皇姑区
mca	202112	210106	铁西区
mca	202112	210111	苏家屯区
mca	202112	210112	浑南区
mca	202112	210113	沈北新区
mca	202112	210114	于洪区
mca	202112	210115	辽中区
mca	202112	210123	康平县
mca	202112	210124	法库县
mca	202112	210181	新民市
mca	202112	210200	大连市
mca	202112	210202	中山区
mca	202112	210203	西岗区
mca	202112	210204	沙河口区
mca	202112	210211	甘井子区
mca	202112	210212	旅顺口区
mca	202112	210213	金州区
mca	202112	210214	普兰店区
mca	202112	210224	长海县
mca	202112	210281	瓦房店市
mca	202112	210283	庄河市
mca	202112	210300	鞍山市
mca	202112	210302	铁东区
mca	202112	210303	铁西区
mca	202112	210304	立山区
mca	202112	210311	千山区
mca	202112	210321	台安县
mca	202112	210323	岫岩满族自治县
mca	202112	210381	海城市
mca	202112	210400	抚顺市
mca	202112	210402	新抚区
mca	202112	210403	东洲区
mca	202112	210404	望花区
mca	202112	210411	顺城区
mca	202112	210421	抚顺县
mca	202112	210422	新宾满族自治县
mca	202112	210423	清原满族自治县
mca	202112	210500	本溪市
mca	202112	210502	平山区
mca	202112	210503	溪湖区
mca	202112	210504	明山区
mca	202112	210505	南芬区
mca	202112	210521	本溪满族自治县
mca	202112	210522	桓仁满族自治县
mca	202112	210600	丹东市
mca	202112	210602	元宝区
mca	202112	210603	振兴区
mca	202112	210604	振安区
mca	202112	210624	宽甸满族自治县
mca	202112	210681	东港市
mca	202112	210682	凤城市
mca	202112	210700	锦州市
mca	202112	210702	古塔区
mca	202112	210703	凌河区
mca	202112	210711	太和区
mca	202112	210726	黑山县
mca	202112	210727	义县
mca	202112	210781	凌海市
mca	202112	210782	北镇市
mca	202112	210800	营口市
mca	202112	210802	站前区
mca	202112	210803	西市区
mca	202112	210804	鲅鱼圈区
mca	202112	210811	老边区
mca	202112	210881	盖州市
mca	202112	210882	大石桥市
mca	202112	210900	阜新市
mca	202112	210902	海州区
mca	202112	210903	新邱区
mca	202112	210904	太平区
mca	202112	210905	清河门区
mca	202112	210911	细河区
mca	202112	210921	阜新蒙古族自治县
mca	202112	210922	彰武县
mca	202112	211000	辽阳市
mca	202112	211002	白塔区
mca	202112	211003	文圣区
mca	202112	211004	宏伟区
mca	202112	211005	弓长岭区
mca	202112	211011	太子河区
mca	202112	211021	辽阳县
mca	202112	211081	灯塔市
mca	202112	211100	盘锦市
mca	202112	211102	双台子区
mca	202112	211103	兴隆台区
mca	202112	211104	大洼区
mca	202112	211122	盘山县
mca	202112	211200	铁岭市
mca	202112	211202	银州区
mca	202112	211204	清河区
mca	202112	211221	铁岭县
mca	202112	211223	西丰县
mca	202112	211224	昌图县
mca	202112	211281	调兵山市
mca	202112	211282	开原市
mca	202112	211300	朝阳市
mca	202112	211302	双塔区
mca	202112	211303	龙城区
mca	202112	211321	朝阳县
mca	202112	211322	建平县
mca	202112	211324	喀喇沁左翼蒙古族自治县
mca	202112	211381	北票市
mca	202112	211382	凌源市
mca	202112	211400	葫芦岛市
mca	202112	211402	连山区
mca	202112	211403	龙港区
mca	202112	211404	南票区
mca	202112	211421	绥中县
mca	202112	211422	建昌县
mca	202112	211481	兴城市
mca	202112	220000	吉林省
mca	202112	220100	长春市
mca	202112	220102	南关区
mca	202112	220103	宽城区
mca	202112	220104	朝阳区
mca	202112	220105	二道区
mca	202112	220106	绿园区
mca	202112	220112	双阳区
mca	202112	220113	九台区
mca	202112	220122	农安县
mca	202112	220182	榆树市
mca	202112	220183	德惠市
mca	202112	220184	公主岭市
mca	202112	220200	吉林市
mca	202112	220202	昌邑区
mca	202112	220203	龙潭区
mca	202112	220204	船营区
mca	202112	220211	丰满区
mca	202112	220221	永吉县
mca	202112	220281	蛟河市
mca	202112	220282	桦甸市
mca	202112	220283	舒兰市
mca	202112	220284	磐石市
mca	202112	220300	四平市
mca	202112	220302	铁西区
mca	202112	220303	铁东区
mca	202112	220322	梨树县
mca	202112	220323	伊通满族自治县
mca	202112	220382	双辽市
mca	202112	220400	辽源市
mca	202112	220402	龙山区
mca	202112	220403	西安区
mca	202112	220421	东丰县
mca	202112	220422	东辽县
mca	202112	220500	通化市
mca	202112	220502	东昌区
mca	202112	220503	二道江区
mca	202112	220521	通化县
mca	202112	220523	辉南县
mca	202112	220524	柳河县
mca	202112	220581	梅河口市
mca	202112	220582	集安市
mca	202112	220600	白山市
mca	202112	220602	浑江区
mca	202112	220605	江源区
mca	202112	220621	抚松县
mca	202112	220622	靖宇县
mca	202112	220623	长白朝鲜族自治县
mca	202112	220681	临江市
mca	202112	220700	松原市
mca	202112	220702	宁江区
mca	202112	220721	前郭尔罗斯蒙古族自治县
mca	202112	220722	长岭县
mca	202112	220723	乾安县
mca	202112	220781	扶余市
mca	202112	220800	白城市
mca	202112	220802	洮北区
mca	202112	220821	镇赉县
mca	202112	220822	通榆县
mca	202112	220881	洮南市
mca	202112	220882	大安市
mca	202112	222400	延边朝鲜族自治州
mca	202112	222401	延吉市
mca	202112	222402	图们市
mca	202112	222403	敦化市
mca	202112	222404	珲春市
mca	202112	222405	龙井市
mca	202112	222406	和龙市
mca	202112	222424	汪清县
mca	202112	222426	安图县
mca	202112	230000	黑龙江省
mca	202112	230100	哈尔滨市
mca	202112	230102	道里区
mca	202112	230103	南岗区
mca	202112	230104	道外区
mca	202112	230108	平房区
mca	202112	230109	松北区
mca	202112	230110	香坊区
mca	202112	230111	呼兰区
mca	202112	230112	阿城区
mca	202112	230113	双城区
mca	202112	230123	依兰县
mca	202112	230124	方正县
mca	202112	230125	宾县
mca	202112	230126	巴彦县
mca	202112	230127	木兰县
mca	202112	230128	通河县
mca	202112	230129	延寿县
mca	202112	230183	尚志市
mca	202112	230184	五常市
mca	202112	230200	齐齐哈尔市
mca	202112	230202	龙沙区
mca	202112	230203	建华区
mca	202112	230204	铁锋区
